,time,energy,jetsair,impingementair,ovenair,ductair,jetsductwork,backductwork,ovenback,ovenbackinsulation,ovenbackouter,food,ovenwalls,oveninsulation,ovenouter,ovendoor,outsideair,outsideairback
0,0.0,240.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,4.0,17.0,17.0,17.0,17.0,17,17
1,0.1,240.0,116.87599999999998,14.851758036363663,17.0,17.0,17.0,17.0,17.0,17.0,17.0,4.001731113956453,17.0,17.0,17.0,17.0,17,17
2,0.2,240.0,211.36097745520613,17.55257763504352,17.32177928848199,25.312679479999986,17.092608834284363,17.0,17.0,17.0,17.0,4.003175931882083,17.0,17.0,17.0,17.0,17,17
3,0.30000000000000004,240.0,283.52408453881776,23.361116692926657,17.99121298232194,39.91678867664643,17.27283296311043,17.00343208591744,17.00171604295872,17.0,17.0,4.004980205604397,17.000061109265573,17.0,17.0,17.000008800801027,17,17
4,0.4,240.0,328.45987532551044,30.47141944058899,18.962749714230767,57.97365872931823,17.519996819351604,17.012932479581877,17.006464476382803,17.00000031050729,17.0,4.0075577192979495,17.00024933647302,17.00000000528297,17.0,17.000035910236136,17,17
5,0.5,240.0,353.4341021996511,37.3684383850711,20.15761035396355,76.45999580842397,17.80888560279743,17.02998886678006,17.01498602851001,17.00000148010173,17.000000000031264,4.0110817162492935,17.000622023904043,17.000000026837427,17.000000000000227,17.000089589572042,17,17
6,0.6000000000000001,240.0,367.7207000431973,43.246285990952515,21.505335421316715,93.22811856971634,18.12102368479907,17.054854716663044,17.027403560618268,17.00000419119482,17.000000000180307,4.0155236689939215,17.001221539207734,17.00000008060732,17.000000000001535,17.000175944809712,17,17
7,0.7000000000000001,240.0,376.93999807498017,47.94188308651036,22.956537859230366,107.3350505992089,18.446531051032196,17.08690161453194,17.04339886895599,17.00000914818213,17.00000000060237,4.02074773977688,17.002076858954183,17.000000186196587,17.0000000000054,17.00029915439285,17,17
8,0.8,240.0,383.5915714567858,51.609496993364246,24.47747153277328,118.68715524686047,18.7807325282468,17.125107193589656,17.06245710395706,17.000016997627313,17.00000000152363,4.026596392883221,17.003207573696443,17.000000365710775,17.00000000001438,17.00046204569304,17,17
9,0.9,240.0,388.6995831889034,54.48071433599506,26.04372170510794,127.59911098782396,19.121263424228744,17.168399266781478,17.084039037966363,17.000028292701245,17.0000000032353,4.032932656215451,17.00462686058023,17.000000642945224,17.000000000031946,17.000666522897404,17,17
10,1.0,240.0,392.7344962436225,56.76386148331045,27.636863733572852,134.51330749738412,19.4667021177616,17.215821875503252,17.10766411421241,17.00004348880475,17.00000000608435,4.039650414595371,17.006343257000992,17.000001042830434,17.00000000006287,17.00091382229607,17,17
11,1.1,240.0,395.9704004801945,58.62010754210763,29.242839755402144,139.86384113099075,19.81605777852974,17.266588341741794,17.132936912134824,17.000062954220255,17.00000001046351,4.046671308258794,17.008361799290128,17.000001591030525,17.000000000113005,17.001204676164036,17,17
12,1.2000000000000002,240.0,398.6009928297815,60.16728783478953,30.850989663001428,144.02392462389082,20.168589447541763,17.320079572752036,17.159546211833913,17.000086985548023,17.00000001680263,4.053938449575469,17.010684852845714,17.000002313640664,17.00000000018946,17.001539432232562,17,17
13,1.3,240.0,400.7744011229605,61.48988050287073,32.45332669049071,147.29372136784207,20.52373251329601,17.375821077941794,17.187253415656812,17.0001158229677,17.00000002556135,4.061410649749689,17.013312758037728,17.00000323695599,17.000000000300645,17.001918146648222,17,17
14,1.4000000000000001,240.0,402.6051401058055,62.648181614878865,34.043944552217795,149.9053887810643,20.881057287380486,17.433454880364422,17.215878429055863,17.00014966339944,17.0000000372234,4.0690579748005575,17.016244338385604,17.000004387296542,17.00000000045617,17.00234065711186,17,17
15,1.5,240.0,404.1806763429404,63.685275332334015,35.61853089681438,152.03404645627256,21.24023848536757,17.4927132195607,17.245286451691697,17.00018867110515,17.000000052292364,4.076858523915234,17.019477296024547,17.000005790876003,17.000000000666944,17.002806639797143,17,17
16,1.6,240.0,405.5667673444914,64.63202199140943,37.17397736846516,153.80957052445342,21.601030641970965,17.5533964416079,17.275376875762277,17.00023298589616,17.000000071288298,4.08479613639679,17.02300851467703,17.000007473704954,17.000000000945136,17.00331565295744,17,17
17,1.7000000000000002,240.0,406.81217026106856,65.51057334859138,38.70807499024818,155.32714692977237,21.96324835441692,17.615355439857524,17.306074471122088,17.000282729328887,17.000000094745303,4.09285876314317,17.026834288499288,17.000009461520108,17.0000000013041,17.003867169864634,17,17
18,1.8,240.0,407.95264880149705,66.33685277181206,40.21928117111378,156.65594814906132,22.32675079698828,17.678478183341383,17.337322623322848,17.000338009303448,17.000000123209645,4.101037306442663,17.03095049302283,17.000011779733256,17.00000000175845,17.00446060341386,17,17
19,1.9000000000000001,240.0,409.0142255410193,67.12231589337438,41.70654433366025,157.84593477027101,22.691429878837255,17.742679612159804,17.369078262114556,17.00039892343699,17.000000157238446,4.109324790192204,17.035352711807946,17.000014453395295,17.000000002324043,17.005095324353988,17,17
20,2.0,240.0,410.0157247613058,67.87520829830538,43.169173465921745,158.9330306372234,23.057201363441948,17.807894174733974,17.40130811610601,17.000465561518126,17.000000197398492,4.117715764679701,17.040036329761847,17.000017507170924,17.00000000301793,17.005770674720168,17,17
21,2.1,240.0,410.9707077647429,68.60146813848183,44.60674191967655,159.94298348870353,23.423998305793987,17.874070376192776,17.433985976852682,17.00053800728284,17.00000024426572,4.126205878922349,17.0449966016609,17.00002096532171,17.000000003858247,17.006485977697764,17,17
